5
Time taken in solving the query is:  0.31074976921081543  seconds. 
The query was:  sat
e3224 --->  0
e1948 --->  0
e253 --->  0
e413 --->  0
e2424 --->  0
e2248 --->  0
e341 --->  0
e1130 --->  0
e3345 --->  0
e632 --->  0
e194 --->  0
e1826 --->  0
e548 --->  0
e3836 --->  0
e236 --->  0
e522 --->  0
e4016 --->  0
e1239 --->  0
e2127 --->  0
e1333 --->  0
e1649 --->  0
e4825 --->  0
e1632 --->  0
e2815 --->  0
e202 --->  0
e4141 --->  0
e1340 --->  0
e460 --->  0
e4040 --->  0
e4246 --->  0
e3917 --->  0
e2239 --->  0
e1133 --->  0
e2144 --->  0
e2512 --->  0
e30 --->  0
e412 --->  0
e3538 --->  0
e3040 --->  0
e272 --->  0
e4349 --->  0
e1522 --->  0
e3842 --->  0
e404 --->  0
e2739 --->  0
e445 --->  0
e1326 --->  0
e2218 --->  0
e1535 --->  0
e2631 --->  0
e4947 --->  0
e2326 --->  0
e4637 --->  0
e1742 --->  0
e319 --->  0
e3318 --->  0
e4229 --->  0
e1618 --->  0
e4316 --->  0
e1844 --->  0
e3921 --->  0
e1443 --->  0
e2433 --->  0
e2426 --->  0
e3146 --->  0
e921 --->  0
e408 --->  0
e4126 --->  0
e1517 --->  0
e06 --->  0
e2213 --->  0
e2319 --->  0
e3323 --->  0
e1548 --->  0
e4527 --->  0
e944 --->  0
e4425 --->  0
e139 --->  0
e93 --->  0
e4248 --->  0
e3710 --->  0
e347 --->  0
e351 --->  0
e3844 --->  0
e10 --->  0
e357 --->  0
e048 --->  0
e843 --->  0
e2511 --->  0
e4614 --->  0
e338 --->  0
e3533 --->  0
e1219 --->  0
e1315 --->  0
e2422 --->  0
e4840 --->  0
e50 --->  0
e356 --->  0
e3615 --->  0
e4838 --->  0
e390 --->  0
e1221 --->  0
e2840 --->  0
e4814 --->  0
e1818 --->  0
e164 --->  0
e3332 --->  0
e2041 --->  0
e3539 --->  0
e4822 --->  0
e4747 --->  0
e392 --->  0
e1610 --->  0
e4024 --->  0
e4130 --->  0
e1944 --->  0
e214 --->  0
e220 --->  0
e3034 --->  0
e407 --->  0
e03 --->  0
e1735 --->  0
e019 --->  0
e3348 --->  0
e1630 --->  0
e2347 --->  0
e3610 --->  0
e401 --->  0
e119 --->  0
e1036 --->  0
e3638 --->  0
e174 --->  0
e1336 --->  0
e454 --->  0
e010 --->  0
e1544 --->  0
e2240 --->  0
e2930 --->  0
e3127 --->  0
e639 --->  0
e1638 --->  0
e2118 --->  0
e1521 --->  0
e2722 --->  0
e471 --->  0
e4333 --->  0
e4920 --->  0
e4618 --->  0
e2617 --->  0
e841 --->  0
e2812 --->  0
e4334 --->  0
e2026 --->  0
e173 --->  0
e4849 --->  0
e2748 --->  0
e3829 --->  0
e465 --->  0
e1737 --->  0
e22 --->  0
e1616 --->  0
e3043 --->  0
e2822 --->  0
e377 --->  0
e3230 --->  0
e3916 --->  0
e3433 --->  0
e3528 --->  0
e46 --->  0
e183 --->  0
e1645 --->  0
e1223 --->  0
